Token,Token Name,Type,Volume,Change (%),Sales,Min Price (24H),Max Price (24H),Transfers,Owners,Total Assets
"0x9E8Ea82e76262E957D4cC24e04857A34B0D8f062","Drago","ERC-721","821 MATIC","-6.67","7","54 MATIC","350 MATIC","99,728","4,727","N/A"
"0xC93c53dE60D1a28dF01E41f5BC04619039d2ef4f","League of Kingdoms Skin","ERC-721","482 MATIC","-54.29","3","15 MATIC","490 MATIC","77,117","3,374","N/A"
"0x647A263ecb8AaB53ee2A1fB4A96Af426c5E9D9ba","Shatterpoint","ERC-721","300 MATIC","0.00","2","150 MATIC","150 MATIC","12,230","1,035","N/A"
"0x939821Fd096b4e4F67f369AF67cf9411b1A28160","","ERC-1155","147 MATIC","-9.09","2","70 MATIC","350 MATIC","108,462","2","N/A"
"0x4d544035500D7aC1B42329c70eb58E77f8249f0F","League of Kingdoms ITEM","ERC-721","116.115 MATIC","0.00","7525","0.0236 MATIC","0.44 MATIC","15,151,290","32,657","N/A"
"0x9CF0450F98d909148986d40e7426A2E7F2e587FD","Fighter - Generation 1","ERC-721","78 MATIC","-5.00","2","37 MATIC","40 MATIC","4,020","550","N/A"
"0x83a5564378839EeF0721bc68A0fbeb92e2dE73d2","Oval3","ERC-721","54.89 MATIC","400.00","18","1.1 MATIC","242 MATIC","174,812","2,067","N/A"
"0xc7B68797297ECecb7e733E5baEff284250db98c9","GingerMooar","ERC-721","53 MATIC","0.00","1","53 MATIC","53 MATIC","3,848","319","N/A"
"0xa88Dc7eFcc8Cd6E1b1637689C063Ad63119FE595","","ERC-1155","9.49 MATIC","0.00","1","1.6 MATIC","9.49 MATIC","59,330","354","N/A"
"0xc1374b803DFb1A9c87eaB9e76929222DBa3a8C39","Nifty Island Creations","ERC-1155","8.37 MATIC","-85.00","5","0.3 MATIC","6 MATIC","239,838","1","N/A"
"0x039f69aE2fE72d28a3fa9c523e6cF59bb6eE92Cb","ApeTheMutant","ERC-1155","6.29 MATIC","-80.00","30","0.001 MATIC","0.5 MATIC","6,133","0","N/A"
"0x2953399124F0cBB46d2CbACD8A89cF0599974963","OpenSea Collections","ERC-1155","5 MATIC","0.00","1","0.004 MATIC","0.4 MATIC","45,048,658","5,171,027","N/A"
"0x8DCa198b6460A3A22435255Cc43A6C3F9aeE8370","Ape Golden Yacht Club","ERC-721","2.6 MATIC","0.00","4","0.65 MATIC","0.65 MATIC","843","70","N/A"
"0x733b70efA1B5cbBEa2332E8596307612dfb91062","Pixel Godzilla","ERC-1155","2 MATIC","0.00","20","0.1 MATIC","31.5 MATIC","1,410","0","N/A"
"0xFe4AbF895b2946c671BD32F0A1214B02468a79e8","Altcointurk Pass","ERC-1155","1.5 MATIC","0.00","1","1.5 MATIC","1.5 MATIC","83","0","N/A"
"0xfc5c6daA65E4092b753c5a396578128940DEe0a2","Halloweens collection of Joaaiart","ERC-1155","1.32 MATIC","0.00","1","1.32 MATIC","1.32 MATIC","47","0","N/A"
"0x0B5cfed5efB6f831468B8b5b5321B71825a2AEe0","DEFY Loot","ERC-1155","0.25 MATIC","0.00","5","0.0006 MATIC","0.05 MATIC","13,593,338","25,039","N/A"
"0xf87749473FCFFD572461fF96D4497bd24C293F9b","KEY","ERC-721","0.1 MATIC","0.00","1","0.1 MATIC","0.1 MATIC","1,412","243","N/A"
"0xE9217b17A0c2876AF68b79b7d16ABcdd1bCBc6e5","","ERC-1155","0.0599 MATIC","0.00","1","0.0599 MATIC","0.0599 MATIC","1,764","0","N/A"
"0xD9f28fD92369A5727776a43FB8A6f27eD58c20C5","Generated Giraffes","ERC-721","0.05 MATIC","0.00","1","0.05 MATIC","0.05 MATIC","14,072","697","N/A"
"0x71E0F5149Fa87d2b8997a7EA688eB8e794F02B5b","Reservoir Polygon 1155 Open Mint","ERC-1155","0 MATIC","0.00","4","0.0000 MATIC","0.0000 MATIC","1,574","0","N/A"
"0xf2da16F92B196e40264072f78930b86cE22fBB2F","X","ERC-1155","0 MATIC","-93.00","2","0.0000 MATIC","0.0000 MATIC","174","0","N/A"
"0xF9e5B2eb8aBCC326e2BA01Bf2AA8F48f4F85098b","ASUKI","ERC-1155","0 MATIC","0.00","1","0.0000 MATIC","0.0000 MATIC","44","0","N/A"
"0x2CF36c23D44C0a6b14007a6817d66384cAf26293","Bitphotos","ERC-1155","0 MATIC","0.00","1","0.0000 MATIC","0.0000 MATIC","25,110","3,646","N/A"